NAME      CLASS          MAJOR               TEST SCORES                                  MEAN      MEDIAN    MODE      STD DEV   
Bravo     Junior         Liberal Arts        [24, 49, 51, 61, 63, 66, 67, 80, 83, 87]     63.1      64        63.1      17.3897   
Sierra    Junior         Liberal Arts        [32, 48, 51, 53, 57, 62, 63, 80, 88, 100]    63.4      59        63.4      18.9605   
Foxtrot   Sophomore      General Science     [32, 33, 37, 39, 39, 45, 57, 71, 71, 95]     51.9      42        39        19.4962   
Alpha     Freshman       Liberal Arts        [22, 38, 41, 65, 68, 69, 72, 80, 85, 96]     63.6      68        63.6      21.4872   
Charlie   Sophomore      Liberal Arts        [23, 31, 49, 52, 60, 60, 64, 71, 90, 99]     59.9      60        60        21.8792   
Mike      Freshman       General Science     [20, 21, 22, 33, 34, 49, 52, 59, 71, 92]     45.3      41        45.3      22.2486   
Romeo     Freshman       Liberal Arts        [11, 31, 42, 51, 70, 74, 78, 82, 84, 90]     61.3      72        61.3      24.4806   
Lima      Freshman       General Science     [8, 12, 19, 47, 49, 58, 61, 72, 72, 84]      48.2      53        72        24.992    
Kilo      Senior         General Science     [7, 32, 39, 60, 65, 65, 80, 84, 86, 94]      61.2      65        65        25.8225   
Hotel     Sophomore      General Science     [13, 29, 33, 52, 58, 63, 70, 75, 94, 99]     58.6      60        58.6      25.9711   
Quebec    Sophomore      Liberal Arts        [1, 9, 19, 22, 34, 35, 38, 51, 67, 97]       37.3      34        37.3      26.7077   
Papa      Freshman       Liberal Arts        [1, 34, 39, 51, 59, 69, 77, 80, 92, 100]     60.2      64        60.2      28.0054   
Tango     Freshman       Liberal Arts        [4, 20, 31, 46, 52, 61, 69, 88, 92, 98]      56.1      56        56.1      29.6108   
India     Freshman       General Science     [3, 17, 23, 35, 46, 48, 57, 71, 94, 99]      49.3      47        49.3      29.7473   
Juliett   Freshman       General Science     [2, 11, 18, 25, 59, 62, 77, 78, 83, 83]      49.8      60        49.8      30.1761   
Golf      Junior         General Science     [5, 8, 24, 24, 51, 54, 71, 74, 86, 95]       49.2      52        24        30.3677   
Delta     Senior         Liberal Arts        [11, 13, 15, 24, 25, 39, 51, 67, 94, 97]     43.6      32        43.6      30.4893   
November  Senior         General Science     [9, 25, 28, 29, 39, 74, 80, 93, 97, 100]     57.4      56        57.4      32.4453   
Oscar     Junior         General Science     [4, 4, 21, 62, 66, 79, 81, 82, 91, 98]       58.8      72        4         33.4918   
Echo      Freshman       Liberal Arts        [0, 12, 18, 19, 33, 35, 74, 76, 92, 99]      45.8      34        45.8      33.7224   
